,Location,Country Name
0,Global,World
19,"Southeast Asia, East Asia, and Oceania",East Asia & Pacific
38,"Central Europe, Eastern Europe, and Central Asia",Europe & Central Asia
57,High-income,High income
76,Latin America and Caribbean,Latin America & Caribbean
95,North Africa and Middle East,Middle East & North Africa
114,South Asia,South Asia
133,Sub-Saharan Africa,Sub-Saharan Africa
152,Afghanistan,Afghanistan
171,Albania,Albania
190,Algeria,Algeria
209,American Samoa,American Samoa
228,Andorra,Andorra
247,Angola,Angola
266,Antigua and Barbuda,Antigua and Barbuda
285,Argentina,Argentina
304,Armenia,Armenia
323,Australia,Australia
342,Austria,Austria
361,Azerbaijan,Azerbaijan
380,Bahrain,Bahrain
399,Bangladesh,Bangladesh
418,Barbados,Barbados
437,Belarus,Belarus
456,Belgium,Belgium
475,Belize,Belize
494,Benin,Benin
513,Bermuda,Bermuda
532,Bhutan,Bhutan
551,Bolivia,Bolivia
570,Bosnia and Herzegovina,Bosnia and Herzegovina
589,Botswana,Botswana
608,Brazil,Brazil
627,Brunei,Brunei Darussalam
646,Bulgaria,Bulgaria
665,Burkina Faso,Burkina Faso
684,Burundi,Burundi
703,Cambodia,Cambodia
722,Cameroon,Cameroon
741,Canada,Canada
760,Cape Verde,Cabo Verde
779,Central African Republic,Central African Republic
798,Chad,Chad
817,Chile,Chile
836,China,China
855,Colombia,Colombia
874,Comoros,Comoros
893,Congo,"Congo, Rep."
912,Cook Islands,
931,Costa Rica,Costa Rica
950,Cote d'Ivoire,Cote d'Ivoire
969,Croatia,Croatia
988,Cuba,Cuba
1007,Cyprus,Cyprus
1026,Czech Republic,Czechia
1045,Democratic Republic of the Congo,"Congo, Dem. Rep."
1064,Denmark,Denmark
1083,Djibouti,Djibouti
1102,Dominica,Dominica
1121,Dominican Republic,Dominican Republic
1140,Ecuador,Ecuador
1159,Egypt,"Egypt, Arab Rep."
1178,El Salvador,El Salvador
1197,Equatorial Guinea,Equatorial Guinea
1216,Eritrea,Eritrea
1235,Estonia,Estonia
1254,Ethiopia,Ethiopia
1273,Federated States of Micronesia,"Micronesia, Fed. Sts."
1292,Fiji,Fiji
1311,Finland,Finland
1330,France,France
1349,Gabon,Gabon
1368,Georgia,Georgia
1387,Germany,Germany
1406,Ghana,Ghana
1425,Greece,Greece
1444,Greenland,Greenland
1463,Grenada,Grenada
1482,Guam,Guam
1501,Guatemala,Guatemala
1520,Guinea,Guinea
1539,Guinea-Bissau,Guinea-Bissau
1558,Guyana,Guyana
1577,Haiti,Haiti
1596,Honduras,Honduras
1615,Hungary,Hungary
1634,Iceland,Iceland
1653,India,India
1672,Indonesia,Indonesia
1691,Iran,"Iran, Islamic Rep."
1710,Iraq,Iraq
1729,Ireland,Ireland
1748,Israel,Israel
1767,Italy,Italy
1786,Jamaica,Jamaica
1805,Japan,Japan
1824,Jordan,Jordan
1843,Kazakhstan,Kazakhstan
1862,Kenya,Kenya
1881,Kiribati,Kiribati
1900,Kuwait,Kuwait
1919,Kyrgyzstan,Kyrgyz Republic
1938,Laos,Lao PDR
1957,Latvia,Latvia
1976,Lebanon,Lebanon
1995,Lesotho,Lesotho
2014,Liberia,Liberia
2033,Libya,Libya
2052,Lithuania,Lithuania
2071,Luxembourg,Luxembourg
2090,Macedonia,North Macedonia
2109,Madagascar,Madagascar
2128,Malawi,Malawi
2147,Malaysia,Malaysia
2166,Maldives,Maldives
2185,Mali,Mali
2204,Malta,Malta
2223,Marshall Islands,Marshall Islands
2242,Mauritania,Mauritania
2261,Mauritius,Mauritius
2280,Mexico,Mexico
2299,Moldova,Moldova
2318,Monaco,Monaco
2337,Mongolia,Mongolia
2356,Montenegro,Montenegro
2375,Morocco,Morocco
2394,Mozambique,Mozambique
2413,Myanmar,Myanmar
2432,Namibia,Namibia
2451,Nauru,Nauru
2470,Nepal,Nepal
2489,Netherlands,Netherlands
2508,New Zealand,New Zealand
2527,Nicaragua,Nicaragua
2546,Niger,Niger
2565,Nigeria,Nigeria
2584,Niue,
2603,North Korea,"Korea, Dem. People's Rep."
2622,Northern Mariana Islands,Northern Mariana Islands
2641,Norway,Norway
2660,Oman,Oman
2679,Pakistan,Pakistan
2698,Palau,Palau
2717,Palestine,West Bank and Gaza
2736,Panama,Panama
2755,Papua New Guinea,Papua New Guinea
2774,Paraguay,Paraguay
2793,Peru,Peru
2812,Philippines,Philippines
2831,Poland,Poland
2850,Portugal,Portugal
