,Category,Series Name,Series Code
0,Public Sector,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS
1,Infrastructure,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN
2,Public Sector,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN
3,Private Sector,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ
4,Social Development,Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS
5,Gender,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN
6,Economy & Growth,Final consumption expenditure (current US$),NE.CON.TOTL.CD
7,Economy & Growth,Number of people pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.FBP2.TO
8,Economy & Growth,Number of people pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.FBP1.TO
9,Economy & Growth,Number of people pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure,SH.UHC.FBPR.TO
10,Poverty,Income share held by third 20%,SI.DST.03RD.20
11,Infrastructure,"Industrial design applications, nonresident, by count",IP.IDS.NRCT
12,Social Development,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS
13,Gender,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL
14,Private Sector,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS
15,Poverty,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC
16,Health,"Population ages 0-14, total",SP.POP.0014.TO
17,Health,"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3
18,Public Sector,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS
19,Economy & Growth,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD
20,Health,"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)",SH.STA.IYCF.ZS
21,Social Development,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS
22,Poverty,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC
23,Gender,"Age population, age 12, female, interpolated",SP.POP.AG12.FE.IN
24,Infrastructure,Mobile cellular subscriptions,IT.CEL.SETS
25,Infrastructure,Individuals using the Internet (% of population),IT.NET.USER.ZS
26,Private Sector,Power outages in firms in a typical month (number),IC.ELC.OUTG
27,Environment,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE
28,Health,"Number of deaths ages 15-19 years, female",SH.DTH.1519.FE
29,Gender,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS
30,Private Sector,Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS
31,Economy & Growth,General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD
32,Climate Change,Urban population (% of total population),SP.URB.TOTL.IN.ZS
33,Private Sector,Firms formally registered when operations started (% of firms),IC.FRM.FREG.ZS
34,Public Sector,Military expenditure (current USD),MS.MIL.XPND.CD
35,Gender,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS
36,Financial Sector,Lending interest rate (%),FR.INR.LEND
37,Gender,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS
38,Social Development,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS
39,Gender,"Population ages 65-69, male",SP.POP.6569.MA
40,Public Sector,Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),IQ.SPI.PIL1
41,Health,"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3
42,Environment,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA
43,Public Sector,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ
44,Gender,"Age population, age 15, male, interpolated",SP.POP.AG15.MA.IN
45,Education,Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD
46,Health,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS
47,Health,Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS
48,Health,Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),SH.MLR.IPTP.ZS
49,Health,"Probability of dying among adolescents ages 15-19 years, male (per 1,000)",SH.DYN.1519.MA
50,Gender,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS
51,Gender,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN
52,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",SH.STA.STNT.ME.ZS
53,Environment,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS
54,Gender,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS
55,Gender,"Age population, age 11, male, interpolated",SP.POP.AG11.MA.IN
56,Health,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS
57,Education,"Primary education, teachers",SE.PRM.TCHR
58,Health,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS
59,Environment,Access to electricity (% of population),EG.ELC.ACCS.ZS
60,Gender,"Population ages 15-19, female",SP.POP.1519.FE
61,Gender,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS
62,Health,"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2
63,Health,"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS
64,Gender,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN
65,Aid Effectiveness,"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS
66,Health,"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS
67,Economy & Growth,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG
68,Health,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS
69,Economy & Growth,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS
70,Education,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS
71,Private Sector,Time required to enforce a contract (days),IC.LGL.DURS
72,External Debt,"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD
73,Energy & Mining,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE
74,Health,"Probability of dying among children ages 5-9 years, male (per 1,000)",SH.DYN.0509.MA
75,Economy & Growth,Number of people pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP1.TO
76,Gender,"Population ages 70-74, male",SP.POP.7074.MA
77,Economy & Growth,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG
78,Economy & Growth,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS
79,Gender,"Population ages 75-79, male",SP.POP.7579.MA
80,Gender,"Population ages 15-19, male",SP.POP.1519.MA
81,Gender,"Population ages 65-69, female",SP.POP.6569.FE
82,Health,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS
83,Economy & Growth,"Services, value added (constant LCU)",NV.SRV.TOTL.KN
84,Public Sector,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ
85,Economy & Growth,Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN
86,Economy & Growth,Financial intermediary services indirectly Measured (FISIM) (current LCU),NV.FSM.TOTL.CN
87,Social Development,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS
88,Education,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS
89,Gender,"Population ages 20-24, male",SP.POP.2024.MA
90,External Debt,"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD
91,Economy & Growth,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS
92,Public Sector,Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL
93,Environment,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS
94,Gender,"Population ages 55-59, male",SP.POP.5559.MA
95,Health,"Number of deaths ages 10-14 years, male",SH.DTH.1014.MA
96,Gender,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS
97,Social Development,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS
98,Gender,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS
99,Gender,"Population ages 45-49, male",SP.POP.4549.MA
100,Economy & Growth,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG
101,Health,"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS
102,Health,"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS
103,Gender,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS
104,Energy & Mining,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD
105,External Debt,"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD
106,Private Sector,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS
107,Aid Effectiveness,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS
108,Gender,"Population ages 20-24, female",SP.POP.2024.FE
109,Environment,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2
110,Private Sector,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS
111,Aid Effectiveness,"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD
112,Health,AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH
113,Economy & Growth,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD
114,Economy & Growth,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
115,Gender,"Age population, age 16, female, interpolated",SP.POP.AG16.FE.IN
116,Private Sector,Firms offering formal training (% of firms),IC.FRM.TRNG.ZS
117,Aid Effectiveness,"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD
118,Public Sector,Control of Corruption: Standard Error,CC.STD.ERR
119,Environment,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS
120,Health,"Population, female",SP.POP.TOTL.FE.IN
121,Gender,"Population ages 40-44, male",SP.POP.4044.MA
122,Gender,"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN
123,Health,"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS
124,Economy & Growth,Number of people pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure,SH.UHC.NOPR.TO
125,Agriculture & Rural Development,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN
126,Health,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG
127,Social Development,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS
128,Aid Effectiveness,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD
129,Gender,"Population ages 25-29, female",SP.POP.2529.FE
130,Health,"Number of infant deaths, male",SH.DTH.IMRT.MA
131,Poverty,"Multidimensional poverty headcount ratio, male (% of male population)",SI.POV.MDIM.MA
132,Gender,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS
133,Gender,"Population ages 70-74, female",SP.POP.7074.FE
134,Health,Children (0-14) living with HIV,SH.HIV.0014
135,Health,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS
136,Infrastructure,"Trademark applications, resident, by count",IP.TMK.RSCT
137,Climate Change,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS
138,Health,"Contraceptive prevalence, any method (% of all women ages 15-49)",SP.DYN.CONU.AL.ZS
139,Poverty,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC
