,Series Name,Series Code
0,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS
1,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS
3,Access to electricity (% of population),EG.ELC.ACCS.ZS
4,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS
5,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS
6,Adjusted net national income (current US$),NY.ADJ.NNTY.CD
7,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD
8,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS
9,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS
10,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS
11,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD
12,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS
13,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD
14,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS
15,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD
16,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS
17,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD
18,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS
19,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS
20,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD
21,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS
22,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS
23,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD
24,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS
25,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS
26,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD
27,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT
28,Age dependency ratio (% of working-age population),SP.POP.DPND
29,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL
30,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG
31,Agricultural land (% of land area),AG.LND.AGRI.ZS
32,Agricultural land (sq. km),AG.LND.AGRI.K2
33,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE
34,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE
35,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN
36,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN
37,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
38,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG
39,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD
40,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN
41,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN
42,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD
43,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD
44,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1
45,"Air transport, passengers carried",IS.AIR.PSGR
46,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT
47,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS
48,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS
49,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS
50,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS
51,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3
52,Aquaculture production (metric tons),ER.FSH.AQUA.MT
53,Arable land (% of land area),AG.LND.ARBL.ZS
54,Arable land (hectares per person),AG.LND.ARBL.HA.PC
55,Arable land (hectares),AG.LND.ARBL.HA
56,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS
57,"Armed forces personnel, total",MS.MIL.TOTL.P1
58,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5
59,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS
60,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN
61,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS
62,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ
63,Capture fisheries production (metric tons),ER.FSH.CAPT.MT
64,Cereal production (metric tons),AG.PRD.CREL.MT
65,Cereal yield (kg per hectare),AG.YLD.CREL.KG
66,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD
67,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS
68,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD
69,CO2 emissions (kg per 2017 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD
70,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD
71,CO2 emissions (kt),EN.ATM.CO2E.KT
72,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC
73,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS
74,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT
75,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS
76,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT
77,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS
78,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT
79,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS
80,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5
81,Commercial service exports (current US$),TX.VAL.SERV.CD.WT
82,Commercial service imports (current US$),TM.VAL.SERV.CD.WT
83,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS
84,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS
85,"Compulsory education, duration (years)",SE.COM.DURS
86,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT
87,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT
88,Consumer price index (2010 = 100),FP.CPI.TOTL
89,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS
90,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS
91,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS
92,Control of Corruption: Estimate,CC.EST
93,Control of Corruption: Number of Sources,CC.NO.SRC
94,Control of Corruption: Percentile Rank,CC.PER.RNK
95,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER
96,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER
97,Control of Corruption: Standard Error,CC.STD.ERR
98,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS
99,"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS
100,"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS
101,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD
102,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS
103,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD
104,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS
105,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD
106,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD
107,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN
108,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS
109,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN
110,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS
111,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS
112,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS
113,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS
114,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS
115,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD
116,"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD
117,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS
118,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD
119,"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD
120,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS
121,"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS
122,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS
123,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS
124,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS
125,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS
126,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS
127,"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS
128,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS
129,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS
130,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS
131,"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS
132,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS
