,Category,Series Name,Series Code
32,Climate Change,Urban population (% of total population),SP.URB.TOTL.IN.ZS
137,Climate Change,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS
164,Climate Change,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT
240,Climate Change,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ
244,Climate Change,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS
617,Climate Change,Agricultural land (sq. km),AG.LND.AGRI.K2
793,Climate Change,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS
945,Climate Change,Urban population growth (annual %),SP.URB.GROW
998,Climate Change,Urban population,SP.URB.TOTL
1164,Climate Change,Cereal yield (kg per hectare),AG.YLD.CREL.KG
1319,Climate Change,Population growth (annual %),SP.POP.GROW
1342,Climate Change,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY
1454,Climate Change,Ease of doing business rank (1=most business-friendly regulations),IC.BUS.EASE.XQ
1672,Climate Change,"Population, total",SP.POP.TOTL
