,Category,Series Name,Series Code
6,Economy & Growth,Final consumption expenditure (current US$),NE.CON.TOTL.CD
7,Economy & Growth,Number of people pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.FBP2.TO
8,Economy & Growth,Number of people pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.FBP1.TO
9,Economy & Growth,Number of people pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure,SH.UHC.FBPR.TO
19,Economy & Growth,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD
31,Economy & Growth,General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD
67,Economy & Growth,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG
69,Economy & Growth,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS
75,Economy & Growth,Number of people pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP1.TO
77,Economy & Growth,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG
78,Economy & Growth,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS
83,Economy & Growth,"Services, value added (constant LCU)",NV.SRV.TOTL.KN
85,Economy & Growth,Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN
86,Economy & Growth,Financial intermediary services indirectly Measured (FISIM) (current LCU),NV.FSM.TOTL.CN
91,Economy & Growth,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS
100,Economy & Growth,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG
113,Economy & Growth,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD
114,Economy & Growth,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
124,Economy & Growth,Number of people pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure,SH.UHC.NOPR.TO
141,Economy & Growth,"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN
142,Economy & Growth,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD
159,Economy & Growth,Number of people pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.TOT2.TO
165,Economy & Growth,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC
168,Economy & Growth,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS
169,Economy & Growth,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS
181,Economy & Growth,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD
183,Economy & Growth,"Manufacturing, value added (current LCU)",NV.IND.MANF.CN
192,Economy & Growth,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD
198,Economy & Growth,"Manufacturing, value added (current US$)",NV.IND.MANF.CD
208,Economy & Growth,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD
211,Economy & Growth,Gross domestic savings (current LCU),NY.GDS.TOTL.CN
219,Economy & Growth,Share of women employed in the nonagricultural sector (% of total nonagricultural employment),SL.EMP.INSV.FE.ZS
224,Economy & Growth,Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN
227,Economy & Growth,Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG
229,Economy & Growth,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO
231,Economy & Growth,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS
235,Economy & Growth,Number of people pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.TOT1.TO
250,Economy & Growth,Imports of goods and services (current LCU),NE.IMP.GNFS.CN
258,Economy & Growth,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS
260,Economy & Growth,"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS
272,Economy & Growth,Number of people pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP2.TO
275,Economy & Growth,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS
277,Economy & Growth,"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD
279,Economy & Growth,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD
286,Economy & Growth,Exports of goods and services (constant LCU),NE.EXP.GNFS.KN
292,Economy & Growth,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD
297,Economy & Growth,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD
301,Economy & Growth,"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD
308,Economy & Growth,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD
310,Economy & Growth,Imports of goods and services (constant LCU),NE.IMP.GNFS.KN
312,Economy & Growth,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG
315,Economy & Growth,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG
321,Economy & Growth,Final consumption expenditure (constant LCU),NE.CON.TOTL.KN
331,Economy & Growth,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS
335,Economy & Growth,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN
346,Economy & Growth,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD
