,Category,Series Name,Series Code
45,Education,Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD
57,Education,"Primary education, teachers",SE.PRM.TCHR
70,Education,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS
88,Education,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS
157,Education,"Secondary education, teachers, female",SE.SEC.TCHR.FE
221,Education,"Pupil-teacher ratio, preprimary",SE.PRE.ENRL.TC.ZS
273,Education,"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS
290,Education,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS
291,Education,"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS
303,Education,Lower secondary school starting age (years),SE.SEC.AGES
311,Education,Male primary school age children out-of-school (%),SE.LPV.PRIM.SD.MA
322,Education,"Net ODA provided, total (% of GNI)",DC.ODA.TOTL.GN.ZS
324,Education,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS
327,Education,"Net ODA provided, total (constant 2020 US$)",DC.ODA.TOTL.KD
330,Education,"Secondary education, teachers",SE.SEC.TCHR
334,Education,"School enrollment, secondary (% gross)",SE.SEC.ENRR
339,Education,"Primary education, pupils",SE.PRM.ENRL
341,Education,"Secondary education, pupils",SE.SEC.ENRL
343,Education,"Children out of school, primary",SE.PRM.UNER
350,Education,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
408,Education,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR
411,Education,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM.MA
423,Education,"Tertiary education, academic staff (% female)",SE.TER.TCHR.FE.ZS
444,Education,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS
455,Education,"Preprimary education, duration (years)",SE.PRE.DURS
456,Education,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
470,Education,Number of deaths ages 10-14 years,SH.DTH.1014
507,Education,"School enrollment, tertiary (% gross)",SE.TER.ENRR
552,Education,Number of deaths ages 20-24 years,SH.DTH.2024
555,Education,"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS
564,Education,"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS
603,Education,"Labor force, total",SL.TLF.TOTL.IN
654,Education,"School enrollment, secondary (% net)",SE.SEC.NENR
696,Education,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),SE.LPV.PRIM.FE
728,Education,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS
731,Education,"Over-age students, primary (% of enrollment)",SE.PRM.OENR.ZS
732,Education,Number of deaths ages 15-19 years,SH.DTH.1519
746,Education,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS
747,Education,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS
750,Education,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS
784,Education,"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS
789,Education,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS
804,Education,"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS
812,Education,"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS
826,Education,"Secondary education, general pupils",SE.SEC.ENRL.GC
829,Education,Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS
842,Education,Trained teachers in lower secondary education (% of total teachers),SE.SEC.TCAQ.LO.ZS
893,Education,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS
898,Education,"Trained teachers in preprimary education, male (% of male teachers)",SE.PRE.TCAQ.MA.ZS
915,Education,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS
