,Category,Series Name,Series Code
5,Gender,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN
13,Gender,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL
23,Gender,"Age population, age 12, female, interpolated",SP.POP.AG12.FE.IN
29,Gender,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS
35,Gender,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS
37,Gender,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS
39,Gender,"Population ages 65-69, male",SP.POP.6569.MA
44,Gender,"Age population, age 15, male, interpolated",SP.POP.AG15.MA.IN
50,Gender,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS
51,Gender,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN
54,Gender,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS
55,Gender,"Age population, age 11, male, interpolated",SP.POP.AG11.MA.IN
60,Gender,"Population ages 15-19, female",SP.POP.1519.FE
61,Gender,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS
64,Gender,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN
76,Gender,"Population ages 70-74, male",SP.POP.7074.MA
79,Gender,"Population ages 75-79, male",SP.POP.7579.MA
80,Gender,"Population ages 15-19, male",SP.POP.1519.MA
81,Gender,"Population ages 65-69, female",SP.POP.6569.FE
89,Gender,"Population ages 20-24, male",SP.POP.2024.MA
94,Gender,"Population ages 55-59, male",SP.POP.5559.MA
96,Gender,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS
98,Gender,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS
99,Gender,"Population ages 45-49, male",SP.POP.4549.MA
103,Gender,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS
