,Category,Series Name,Series Code
16,Health,"Population ages 0-14, total",SP.POP.0014.TO
17,Health,"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3
20,Health,"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)",SH.STA.IYCF.ZS
28,Health,"Number of deaths ages 15-19 years, female",SH.DTH.1519.FE
41,Health,"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3
46,Health,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS
47,Health,Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS
48,Health,Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),SH.MLR.IPTP.ZS
49,Health,"Probability of dying among adolescents ages 15-19 years, male (per 1,000)",SH.DYN.1519.MA
52,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",SH.STA.STNT.ME.ZS
56,Health,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS
58,Health,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS
62,Health,"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2
63,Health,"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS
66,Health,"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS
68,Health,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS
74,Health,"Probability of dying among children ages 5-9 years, male (per 1,000)",SH.DYN.0509.MA
82,Health,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS
95,Health,"Number of deaths ages 10-14 years, male",SH.DTH.1014.MA
101,Health,"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS
102,Health,"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS
112,Health,AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH
120,Health,"Population, female",SP.POP.TOTL.FE.IN
123,Health,"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS
126,Health,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG
130,Health,"Number of infant deaths, male",SH.DTH.IMRT.MA
134,Health,Children (0-14) living with HIV,SH.HIV.0014
135,Health,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS
138,Health,"Contraceptive prevalence, any method (% of all women ages 15-49)",SP.DYN.CONU.AL.ZS
154,Health,"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3
161,Health,"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5
162,Health,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS
166,Health,Age dependency ratio (% of working-age population),SP.POP.DPND
174,Health,"Contraceptive prevalence, any modern method (% of sexually active unmarried women ages 15-49)",SP.DYN.CONM.SA.ZS
176,Health,"Condom use at last high-risk sex, adult female (% ages 15-49)",SH.CON.AIDS.FE.ZS
179,Health,Prevalence of overweight (% of children under 5),SH.STA.OWGH.ZS
182,Health,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions)",SH.HIV.1524.KW.MA.ZS
188,Health,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS
194,Health,"Mortality caused by road traffic injury, female (per 100,000 female population)",SH.STA.TRAF.FE.P5
197,Health,"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",SH.STA.AIRP.P5
201,Health,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS
205,Health,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD
206,Health,"Treatment for hypertension, male (% of male adults ages 30-79 with hypertension)",SH.HTN.TRET.MA.ZS
214,Health,"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5
217,Health,"Number of deaths ages 10-19 years, male",SH.DTH.1019.MA
220,Health,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3
222,Health,"Treatment for hypertension, female (% of female adults ages 30-79 with hypertension)",SH.HTN.TRET.FE.ZS
223,Health,"Number of infant deaths, female",SH.DTH.IMRT.FE
225,Health,"Tuberculosis death rate (per 100,000 people)",SH.TBS.MORT
233,Health,Number of neonatal deaths,SH.DTH.NMRT
237,Health,International migrant stock (% of population),SM.POP.TOTL.ZS
239,Health,"Stillbirth rate (per 1,000 total births)",SH.DYN.STLB
241,Health,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS
245,Health,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD
255,Health,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y
257,Health,"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD
263,Health,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y
280,Health,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL
281,Health,"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS
284,Health,"Prevalence of hypertension, female (% of female adults ages 30-79)",SH.HTN.PREV.FE.ZS
287,Health,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS
288,Health,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, female (2 prevent ways and reject 3 misconceptions)",SH.HIV.1524.KW.FE.ZS
293,Health,"Probability of dying among youth ages 20-24 years, female (per 1,000)",SH.DYN.2024.FE
294,Health,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS
299,Health,Postnatal care coverage (% mothers),SH.STA.PNVC.ZS
332,Health,"Prevalence of hypertension, male (% of male adults ages 30-79)",SH.HTN.PREV.MA.ZS
333,Health,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y
338,Health,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y
345,Health,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS
347,Health,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN
354,Health,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS
357,Health,"Population ages 65 and above, female",SP.POP.65UP.FE.IN
361,Health,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y
363,Health,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS
367,Health,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y
369,Health,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT
371,Health,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN
372,Health,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y
373,Health,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y
375,Health,"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y
379,Health,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS
380,Health,"Population ages 65 and above, male",SP.POP.65UP.MA.IN
393,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.ZS
399,Health,"Probability of dying among youth ages 20-24 years, male (per 1,000)",SH.DYN.2024.MA
404,Health,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS
405,Health,Treatment for hypertension (% of adults ages 30-79 with hypertension),SH.HTN.TRET.ZS
413,Health,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS
420,Health,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y
