,Category,Series Name,Series Code
3,Private Sector,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ
14,Private Sector,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS
26,Private Sector,Power outages in firms in a typical month (number),IC.ELC.OUTG
30,Private Sector,Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS
33,Private Sector,Firms formally registered when operations started (% of firms),IC.FRM.FREG.ZS
71,Private Sector,Time required to enforce a contract (days),IC.LGL.DURS
106,Private Sector,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS
110,Private Sector,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS
116,Private Sector,Firms offering formal training (% of firms),IC.FRM.TRNG.ZS
149,Private Sector,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS
150,Private Sector,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS
172,Private Sector,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN
177,Private Sector,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS
199,Private Sector,"Time to import, border compliance (hours)",IC.IMP.TMBC
218,Private Sector,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS
226,Private Sector,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS
296,Private Sector,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS
326,Private Sector,Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD
342,Private Sector,Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD
387,Private Sector,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT
407,Private Sector,Export value index (2015 = 100),TX.VAL.MRCH.XD.WD
417,Private Sector,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT
441,Private Sector,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS
459,Private Sector,Informal payments to public officials (% of firms),IC.FRM.CORR.ZS
460,Private Sector,"Time required to start a business, female (days)",IC.REG.DURS.FE
467,Private Sector,Time spent dealing with the requirements of government regulations (% of senior management time),IC.GOV.DURS.ZS
479,Private Sector,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD
490,Private Sector,"International tourism, number of departures",ST.INT.DPRT
514,Private Sector,Time required to build a warehouse (days),IC.WRH.DURS
547,Private Sector,Number of visits or required meetings with tax officials (average for affected firms),IC.TAX.METG
551,Private Sector,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS
560,Private Sector,"Cost to import, documentary compliance (US$)",IC.IMP.CSDC.CD
571,Private Sector,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT
572,Private Sector,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD
589,Private Sector,"International tourism, expenditures (current US$)",ST.INT.XPND.CD
595,Private Sector,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS
611,Private Sector,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD
614,Private Sector,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD
653,Private Sector,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ
656,Private Sector,"Lead time to import, median case (days)",LP.IMP.DURS.MD
689,Private Sector,Losses due to theft and vandalism (% of annual sales for affected firms),IC.FRM.CRIM.ZS
722,Private Sector,"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD
751,Private Sector,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD
769,Private Sector,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS
778,Private Sector,"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS
780,Private Sector,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD
781,Private Sector,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS
783,Private Sector,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD
838,Private Sector,Import volume index (2015 = 100),TM.QTY.MRCH.XD.WD
845,Private Sector,"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS
851,Private Sector,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS
853,Private Sector,"International tourism, receipts (current US$)",ST.INT.RCPT.CD
875,Private Sector,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS
876,Private Sector,"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE
883,Private Sector,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT
888,Private Sector,"Time to export, documentary compliance (hours)",IC.EXP.TMDC
905,Private Sector,Start-up procedures to register a business (number),IC.REG.PROC
906,Private Sector,"International tourism, number of arrivals",ST.INT.ARVL
916,Private Sector,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN
920,Private Sector,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD
955,Private Sector,Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS
956,Private Sector,Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT
964,Private Sector,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS
985,Private Sector,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT
991,Private Sector,"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS
1007,Private Sector,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS
1024,Private Sector,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS
1036,Private Sector,Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS
1054,Private Sector,"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS
1059,Private Sector,Procedures to build a warehouse (number),IC.WRH.PROC
1061,Private Sector,Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS
1066,Private Sector,"Share of tariff lines with specific rates, manufactured products (%)",TM.TAX.MANF.SR.ZS
1067,Private Sector,"Time to import, documentary compliance (hours)",IC.IMP.TMDC
1087,Private Sector,"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS
1094,Private Sector,Logistics performance index: Ability to track and trace consignments (1=low to 5=high),LP.LPI.TRAC.XQ
1100,Private Sector,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS
1131,Private Sector,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS
1137,Private Sector,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS
1143,Private Sector,"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS
1166,Private Sector,"Share of tariff lines with specific rates, all products (%)",TM.TAX.MRCH.SR.ZS
1169,Private Sector,Procedures to register property (number),IC.PRP.PROC
1182,Private Sector,Commercial service exports (current US$),TX.VAL.SERV.CD.WT
1192,Private Sector,"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS
1232,Private Sector,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS
1237,Private Sector,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS
1238,Private Sector,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT
1245,Private Sector,Time required to obtain an operating license (days),IC.FRM.DURS
1254,Private Sector,Average time to clear exports through customs (days),IC.CUS.DURS.EX
1268,Private Sector,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS
1270,Private Sector,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS
