,Series Name,Series Code
0,AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH
1,ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS
2,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS
3,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
4,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS
5,Access to electricity (% of population),EG.ELC.ACCS.ZS
6,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS
7,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS
8,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS
9,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS
10,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS
11,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS
12,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS
13,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS
14,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS
15,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS
16,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS
17,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot
18,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot
19,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot
20,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot
21,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR
22,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE
23,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA
24,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG
25,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD
26,Adjusted net national income (current US$),NY.ADJ.NNTY.CD
27,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG
28,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD
29,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD
30,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS
31,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD
32,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS
33,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD
34,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS
35,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD
36,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS
37,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD
38,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS
39,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD
40,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS
41,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD
42,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS
43,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS
44,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD
45,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS
46,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS
47,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD
48,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS
49,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD
50,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS
51,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD
52,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT
53,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS
54,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS
55,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS
56,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL
57,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL
58,Adults (ages 15+) living with HIV,SH.DYN.AIDS
59,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD
60,"Age at first marriage, female",SP.DYN.SMAM.FE
61,"Age at first marriage, male",SP.DYN.SMAM.MA
62,Age dependency ratio (% of working-age population),SP.POP.DPND
63,"Age dependency ratio, old",SP.POP.DPND.OL
64,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL
65,"Age dependency ratio, young",SP.POP.DPND.YG
66,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG
67,"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN
68,"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN
69,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN
70,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN
71,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN
72,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN
73,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN
74,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN
75,"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN
76,"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN
77,"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN
78,"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN
79,"Age population, age 06, female, interpolated",SP.POP.AG06.FE.IN
80,"Age population, age 06, male, interpolated",SP.POP.AG06.MA.IN
81,"Age population, age 07, female, interpolated",SP.POP.AG07.FE.IN
82,"Age population, age 07, male, interpolated",SP.POP.AG07.MA.IN
83,"Age population, age 08, female, interpolated",SP.POP.AG08.FE.IN
84,"Age population, age 08, male, interpolated",SP.POP.AG08.MA.IN
85,"Age population, age 09, female, interpolated",SP.POP.AG09.FE.IN
86,"Age population, age 09, male, interpolated",SP.POP.AG09.MA.IN
87,"Age population, age 10, female, interpolated",SP.POP.AG10.FE.IN
88,"Age population, age 10, male, interpolated",SP.POP.AG10.MA.IN
89,"Age population, age 11, female, interpolated",SP.POP.AG11.FE.IN
90,"Age population, age 11, male, interpolated",SP.POP.AG11.MA.IN
91,"Age population, age 12, female, interpolated",SP.POP.AG12.FE.IN
92,"Age population, age 12, male, interpolated",SP.POP.AG12.MA.IN
93,"Age population, age 13, female, interpolated",SP.POP.AG13.FE.IN
94,"Age population, age 13, male, interpolated",SP.POP.AG13.MA.IN
95,"Age population, age 14, female, interpolated",SP.POP.AG14.FE.IN
96,"Age population, age 14, male, interpolated",SP.POP.AG14.MA.IN
97,"Age population, age 15, female, interpolated",SP.POP.AG15.FE.IN
98,"Age population, age 15, male, interpolated",SP.POP.AG15.MA.IN
99,"Age population, age 16, female, interpolated",SP.POP.AG16.FE.IN
100,"Age population, age 16, male, interpolated",SP.POP.AG16.MA.IN
101,"Age population, age 17, female, interpolated",SP.POP.AG17.FE.IN
102,"Age population, age 17, male, interpolated",SP.POP.AG17.MA.IN
103,"Age population, age 18, female, interpolated",SP.POP.AG18.FE.IN
104,"Age population, age 18, male, interpolated",SP.POP.AG18.MA.IN
105,"Age population, age 19, female, interpolated",SP.POP.AG19.FE.IN
106,"Age population, age 19, male, interpolated",SP.POP.AG19.MA.IN
107,"Age population, age 20, female, interpolated",SP.POP.AG20.FE.IN
108,"Age population, age 20, male, interpolated",SP.POP.AG20.MA.IN
109,"Age population, age 21, female, interpolated",SP.POP.AG21.FE.IN
110,"Age population, age 21, male, interpolated",SP.POP.AG21.MA.IN
111,"Age population, age 22, female, interpolated",SP.POP.AG22.FE.IN
112,"Age population, age 22, male, interpolated",SP.POP.AG22.MA.IN
113,"Age population, age 23, female, interpolated",SP.POP.AG23.FE.IN
114,"Age population, age 23, male, interpolated",SP.POP.AG23.MA.IN
115,"Age population, age 24, female, interpolated",SP.POP.AG24.FE.IN
