,Country Name,Country Code
0,Albania,ALB
804,Algeria,DZA
1608,Angola,AGO
2412,Argentina,ARG
3216,Armenia,ARM
4020,Australia,AUS
4824,Austria,AUT
5628,Azerbaijan,AZE
6432,"Bahamas, The",BHS
7236,Bahrain,BHR
8040,Bangladesh,BGD
8844,Belarus,BLR
9648,Belgium,BEL
10452,Belize,BLZ
11256,Benin,BEN
12060,Bhutan,BTN
12864,Bolivia,BOL
13668,Bosnia and Herzegovina,BIH
14472,Botswana,BWA
15276,Brazil,BRA
16080,Brunei Darussalam,BRN
16884,Bulgaria,BGR
17688,Burkina Faso,BFA
18492,Burundi,BDI
19296,Cabo Verde,CPV
20100,Cambodia,KHM
20904,Cameroon,CMR
21708,Canada,CAN
22512,Chile,CHL
23316,China,CHN
24120,Colombia,COL
24924,Comoros,COM
25728,"Congo, Dem. Rep.",COD
26532,"Congo, Rep.",COG
27336,Costa Rica,CRI
28140,Cote d'Ivoire,CIV
28944,Croatia,HRV
29748,Cyprus,CYP
30552,Czechia,CZE
31356,Denmark,DNK
32160,Dominican Republic,DOM
32964,Ecuador,ECU
33768,"Egypt, Arab Rep.",EGY
34572,El Salvador,SLV
35376,Estonia,EST
36180,Eswatini,SWZ
36984,Ethiopia,ETH
37788,Fiji,FJI
38592,Finland,FIN
39396,France,FRA
40200,Gabon,GAB
41004,"Gambia, The",GMB
41808,Georgia,GEO
42612,Germany,DEU
43416,Ghana,GHA
44220,Greece,GRC
45024,Guatemala,GTM
45828,Guinea,GIN
46632,Guinea-Bissau,GNB
47436,Haiti,HTI
48240,Honduras,HND
49044,Hungary,HUN
49848,Iceland,ISL
50652,India,IND
51456,Indonesia,IDN
52260,Iraq,IRQ
53064,Ireland,IRL
53868,Israel,ISR
54672,Italy,ITA
55476,Jamaica,JAM
56280,Japan,JPN
57084,Jordan,JOR
57888,Kazakhstan,KAZ
58692,Kenya,KEN
59496,"Korea, Rep.",KOR
60300,Kuwait,KWT
61104,Kyrgyz Republic,KGZ
61908,Lao PDR,LAO
62712,Latvia,LVA
63516,Lebanon,LBN
64320,Lesotho,LSO
65124,Lithuania,LTU
65928,Luxembourg,LUX
66732,Madagascar,MDG
67536,Malaysia,MYS
68340,Mali,MLI
69144,Malta,MLT
69948,Mauritania,MRT
70752,Mauritius,MUS
71556,Mexico,MEX
72360,Moldova,MDA
73164,Mongolia,MNG
73968,Morocco,MAR
74772,Namibia,NAM
75576,Nepal,NPL
76380,Netherlands,NLD
77184,New Zealand,NZL
77988,Nicaragua,NIC
78792,Niger,NER
79596,North Macedonia,MKD
80400,Norway,NOR
81204,Oman,OMN
82008,Pakistan,PAK
82812,Panama,PAN
83616,Paraguay,PRY
84420,Peru,PER
85224,Philippines,PHL
86028,Poland,POL
86832,Portugal,PRT
87636,Romania,ROU
88440,Russian Federation,RUS
89244,Rwanda,RWA
90048,Samoa,WSM
90852,Saudi Arabia,SAU
91656,Senegal,SEN
92460,Serbia,SRB
93264,Sierra Leone,SLE
94068,Singapore,SGP
94872,Slovak Republic,SVK
95676,Slovenia,SVN
96480,Solomon Islands,SLB
97284,South Africa,ZAF
98088,Spain,ESP
98892,Sri Lanka,LKA
99696,Sudan,SDN
100500,Sweden,SWE
101304,Switzerland,CHE
102108,Tajikistan,TJK
102912,Tanzania,TZA
103716,Thailand,THA
104520,Timor-Leste,TLS
105324,Togo,TGO
106128,Tonga,TON
106932,Tunisia,TUN
107736,Turkiye,TUR
108540,Uganda,UGA
109344,Ukraine,UKR
110148,United Kingdom,GBR
110952,United States,USA
111756,Uruguay,URY
112560,Uzbekistan,UZB
113364,Vanuatu,VUT
114168,Viet Nam,VNM
114972,Zambia,ZMB
115776,Zimbabwe,ZWE
