Category,Series Name,Series Code,Attribution
Public Sector,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,0.056993863
Infrastructure,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,0.056898914
Public Sector,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,0.049266108
Private Sector,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,0.045469077
Social Development,Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS,0.043938181
Gender,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,0.043403369
Economy & Growth,Final consumption expenditure (current US$),NE.CON.TOTL.CD,0.043019968
Economy & Growth,Number of people pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.FBP2.TO,0.041057306
Economy & Growth,Number of people pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.FBP1.TO,0.040612248
Economy & Growth,Number of people pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure,SH.UHC.FBPR.TO,0.040144962
Poverty,Income share held by third 20%,SI.DST.03RD.20,0.038711373
Infrastructure,"Industrial design applications, nonresident, by count",IP.IDS.NRCT,0.037006886
Social Development,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,0.036759217
Gender,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,0.033428597
Private Sector,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,0.032004444
Poverty,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC,0.031986779
Health,"Population ages 0-14, total",SP.POP.0014.TO,0.031814173
Health,"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,0.029140321
Public Sector,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,0.028486781
Economy & Growth,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,0.028384878
Health,"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)",SH.STA.IYCF.ZS,0.027406476
Social Development,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,0.026946648
